Input,Label,Output,Auto Check Results,Human Check Results
What happens if I send back an item without prior authorization?,Unauthorized returns without prior approval may be rejected.,"===\nRMA (Return Merchandise Authorization) Policy:\nPreapproval and RMA number required for all returns.\nSender responsible for shipping costs to DUMMY_PC.\nTwo types: Refund RMA and Normal RMA Parts Exchange.\n\nReturning RMA Products:\nUnauthorized returns without prior approval may be rejected.\nRMA numbers valid for 30 days.\n\nShipping the Return:\nRMA number must be clearly indicated on package.\nReturn address: DUMMY_PC, 111 S Baldwin Park Blvd, City of Industry, CA 91746.\n\nGuarantee Conditions and Exclusions:\nOnly for direct purchases from DUMMY_PC.com.\nOriginal purchaser and original payment form only.\nExcludes shipping, handling, rush service fees.\nCustomized, damaged, or abused products not eligible.\nRefund capped at the original purchase price.\n\nRestocking Fees:\nNo fees within 30 days of invoice date.\n15% fee after 30 days, subject to management approval.\nNo returns accepted after 45 days from delivery.\n\nInternational Return Policy:\nSimilar to U.S. policy but does not cover return shipping costs.\nFor Canadian shipments, DUMMY_PC may cover shipping both ways, case-dependent.\n\nMiscellaneous:\n- Policy Modification: DUMMY_PC may change policy without notice.\n- Part Availability: If parts unavailable, DUMMY_PC may replace with equal/greater value model or refund purchase.\n\nContact Information:\n- Email: [CustomerService@DUMMY_PC.com](mailto:CustomerService@DUMMY_PC.com)\n- Phone: 1-800-XXX-XXXX.\n\n===\n",1,1
How long is an RMA number valid for?,RMA numbers valid for 30 days.,"===\nRMA (Return Merchandise Authorization) Policy:\nPreapproval and RMA number required for all returns.\nSender responsible for shipping costs to DUMMY_PC.\nTwo types: Refund RMA and Normal RMA Parts Exchange.\n\nReturning RMA Products:\nUnauthorized returns without prior approval may be rejected.\nRMA numbers valid for 30 days.\n\nShipping the Return:\nRMA number must be clearly indicated on package.\nReturn address: DUMMY_PC, 111 S Baldwin Park Blvd, City of Industry, CA 91746.\n\n7. APO/FPO Shipping (US Postal):\n   - Delivery: Varies (destination dependent)\n   - Cost: $149\n\nImportant Notes:\n- Delivery times count from shipment, not order placement.\n- Order processing: 24-48 hours.\n- APO/FPO delivery times vary by destination.\n- Shipping costs are non-refundable.\n- Select shipping method during checkout.\n- Contact customer service for shipping inquiries.\n\n===\n",1,1
Where do I send my return?,"Return address: DUMMY_PC, 111 S Baldwin Park Blvd, City of Industry, CA 91746.","===\nInternational Return Policy:\nSimilar to U.S. policy but does not cover return shipping costs.\nFor Canadian shipments, DUMMY_PC may cover shipping both ways, case-dependent.\n\nDUMMY_PC U.S. Return Policy\n\nApplicability:\nApplies to new desktop computer systems bought from DUMMY_PC.com.\nFor the original purchaser shipped to a U.S. address.\nFor international orders, see the International Return Policy.\n\nMoney-Back Satisfaction Guarantee:\n30-day money-back for new desktop computers.\nValid for purchases from DUMMY_PC.com only.\n\nRMA (Return Merchandise Authorization) Policy:\nPreapproval and RMA number required for all returns.\nSender responsible for shipping costs to DUMMY_PC.\nTwo types: Refund RMA and Normal RMA Parts Exchange.\n\nReturning RMA Products:\nUnauthorized returns without prior approval may be rejected.\nRMA numbers valid for 30 days.\n\nShipping the Return:\nRMA number must be clearly indicated on package.\nReturn address: DUMMY_PC, 111 S Baldwin Park Blvd, City of Industry, CA 91746.\n\nShipping Options for New PC:\n\n1. Free Eco Shipping (US Only):\n   - Delivery: 5-7 business days\n   - Cost: Free\n\n2. Ground Service:\n   - Delivery: 3-5 business days\n   - Cost: $75\n\n3. 3-Day Air:\n   - Delivery: 3 business days\n   - Cost: $99\n\n4. 2-Day Air:\n   - Delivery: 2 business days\n   - Cost: $125\n\n5. Next Day Air:\n   - Delivery: 1 business day\n   - Cost: $179\n\n6. Canada Shipping:\n   - Delivery: 3-5 business days\n   - Cost: $109\n\n7. APO/FPO Shipping (US Postal):\n   - Delivery: Varies (destination dependent)\n   - Cost: $149\n\nWarranty Claim Process:\n1. Obtain RMA Number:\n   - Contact: Customer Service for issue reporting and RMA number.\n   - Requirement: Display RMA number on package.\n2. Packaging and Shipping:\n   - Packaging: Secure to prevent transit damage.\n   - Address: DUMMY_PC, Attn: RMA#_______, 111 S Baldwin Park Blvd, City of Industry, CA 91746.\n   - Recommendation: Use traceable, insured shipping method. DUMMY_PC not liable for transit damage/loss.\n\n===\n",1,1
Can I still return an item if I'm not the original purchaser?,Original purchaser and original payment form only.,"===\nGuarantee Conditions and Exclusions:\nOnly for direct purchases from DUMMY_PC.com.\nOriginal purchaser and original payment form only.\nExcludes shipping, handling, rush service fees.\nCustomized, damaged, or abused products not eligible.\nRefund capped at the original purchase price.\n\nRestocking Fees:\nNo fees within 30 days of invoice date.\n15% fee after 30 days, subject to management approval.\nNo returns accepted after 45 days from delivery.\n\nRMA (Return Merchandise Authorization) Policy:\nPreapproval and RMA number required for all returns.\nSender responsible for shipping costs to DUMMY_PC.\nTwo types: Refund RMA and Normal RMA Parts Exchange.\n\nReturning RMA Products:\nUnauthorized returns without prior approval may be rejected.\nRMA numbers valid for 30 days.\n\nShipping the Return:\nRMA number must be clearly indicated on package.\nReturn address: DUMMY_PC, 111 S Baldwin Park Blvd, City of Industry, CA 91746.\n\nDUMMY_PC U.S. Return Policy\n\nApplicability:\nApplies to new desktop computer systems bought from DUMMY_PC.com.\nFor the original purchaser shipped to a U.S. address.\nFor international orders, see the International Return Policy.\n\nMoney-Back Satisfaction Guarantee:\n30-day money-back for new desktop computers.\nValid for purchases from DUMMY_PC.com only.\n\nInternational Return Policy:\nSimilar to U.S. policy but does not cover return shipping costs.\nFor Canadian shipments, DUMMY_PC may cover shipping both ways, case-dependent.\n\n===\n",1,1
Will I get a full refund if I return a product?,Refund capped at the original purchase price.,"===\nInternational Return Policy:\nSimilar to U.S. policy but does not cover return shipping costs.\nFor Canadian shipments, DUMMY_PC may cover shipping both ways, case-dependent.\n\nDUMMY_PC U.S. Return Policy\n\nApplicability:\nApplies to new desktop computer systems bought from DUMMY_PC.com.\nFor the original purchaser shipped to a U.S. address.\nFor international orders, see the International Return Policy.\n\nMoney-Back Satisfaction Guarantee:\n30-day money-back for new desktop computers.\nValid for purchases from DUMMY_PC.com only.\n\nGuarantee Conditions and Exclusions:\nOnly for direct purchases from DUMMY_PC.com.\nOriginal purchaser and original payment form only.\nExcludes shipping, handling, rush service fees.\nCustomized, damaged, or abused products not eligible.\nRefund capped at the original purchase price.\n\nRestocking Fees:\nNo fees within 30 days of invoice date.\n15% fee after 30 days, subject to management approval.\nNo returns accepted after 45 days from delivery.\n\nMiscellaneous:\n- Policy Modification: DUMMY_PC may change policy without notice.\n- Part Availability: If parts unavailable, DUMMY_PC may replace with equal/greater value model or refund purchase.\n\nContact Information:\n- Email: [CustomerService@DUMMY_PC.com](mailto:CustomerService@DUMMY_PC.com)\n- Phone: 1-800-XXX-XXXX.\n\n===\n",1,1
What is the policy on restocking fees after 30 days?,"15% fee after 30 days, subject to management approval.","===\nGuarantee Conditions and Exclusions:\nOnly for direct purchases from DUMMY_PC.com.\nOriginal purchaser and original payment form only.\nExcludes shipping, handling, rush service fees.\nCustomized, damaged, or abused products not eligible.\nRefund capped at the original purchase price.\n\nRestocking Fees:\nNo fees within 30 days of invoice date.\n15% fee after 30 days, subject to management approval.\nNo returns accepted after 45 days from delivery.\n\nDUMMY_PC U.S. Return Policy\n\nApplicability:\nApplies to new desktop computer systems bought from DUMMY_PC.com.\nFor the original purchaser shipped to a U.S. address.\nFor international orders, see the International Return Policy.\n\nMoney-Back Satisfaction Guarantee:\n30-day money-back for new desktop computers.\nValid for purchases from DUMMY_PC.com only.\n\nMiscellaneous:\n- Policy Modification: DUMMY_PC may change policy without notice.\n- Part Availability: If parts unavailable, DUMMY_PC may replace with equal/greater value model or refund purchase.\n\nContact Information:\n- Email: [CustomerService@DUMMY_PC.com](mailto:CustomerService@DUMMY_PC.com)\n- Phone: 1-800-XXX-XXXX.\n\n===\n",1,1
Is there a specific time frame within which I must send back a desktop computer for an RMA Parts Exchange?,RMA numbers valid for 30 days.,"===\nRMA (Return Merchandise Authorization) Policy:\nPreapproval and RMA number required for all returns.\nSender responsible for shipping costs to DUMMY_PC.\nTwo types: Refund RMA and Normal RMA Parts Exchange.\n\nReturning RMA Products:\nUnauthorized returns without prior approval may be rejected.\nRMA numbers valid for 30 days.\n\nShipping the Return:\nRMA number must be clearly indicated on package.\nReturn address: DUMMY_PC, 111 S Baldwin Park Blvd, City of Industry, CA 91746.\n\nWarranty Policy\n\nOverview:\n- Purpose: To provide assurance for pre-built desktop computer purchases from DUMMY_PC.\n- Scope: Covers repair or replacement costs for covered issues.\n\n===\n",1,1
What is the address for returns?,"Return address: DUMMY_PC, 111 S Baldwin Park Blvd, City of Industry, CA 91746.","===\nRMA (Return Merchandise Authorization) Policy:\nPreapproval and RMA number required for all returns.\nSender responsible for shipping costs to DUMMY_PC.\nTwo types: Refund RMA and Normal RMA Parts Exchange.\n\nReturning RMA Products:\nUnauthorized returns without prior approval may be rejected.\nRMA numbers valid for 30 days.\n\nShipping the Return:\nRMA number must be clearly indicated on package.\nReturn address: DUMMY_PC, 111 S Baldwin Park Blvd, City of Industry, CA 91746.\n\nDUMMY_PC U.S. Return Policy\n\nApplicability:\nApplies to new desktop computer systems bought from DUMMY_PC.com.\nFor the original purchaser shipped to a U.S. address.\nFor international orders, see the International Return Policy.\n\nMoney-Back Satisfaction Guarantee:\n30-day money-back for new desktop computers.\nValid for purchases from DUMMY_PC.com only.\n\nWarranty Policy\n\nOverview:\n- Purpose: To provide assurance for pre-built desktop computer purchases from DUMMY_PC.\n- Scope: Covers repair or replacement costs for covered issues.\n\n===\n",1,1
Does DUMMY_PC cover return shipping costs from Canada?,"For Canadian shipments, DUMMY_PC may cover shipping both ways, case-dependent.","===\nInternational Return Policy:\nSimilar to U.S. policy but does not cover return shipping costs.\nFor Canadian shipments, DUMMY_PC may cover shipping both ways, case-dependent.\n\nGuarantee Conditions and Exclusions:\nOnly for direct purchases from DUMMY_PC.com.\nOriginal purchaser and original payment form only.\nExcludes shipping, handling, rush service fees.\nCustomized, damaged, or abused products not eligible.\nRefund capped at the original purchase price.\n\nRestocking Fees:\nNo fees within 30 days of invoice date.\n15% fee after 30 days, subject to management approval.\nNo returns accepted after 45 days from delivery.\n\nWarranty Policy\n\nOverview:\n- Purpose: To provide assurance for pre-built desktop computer purchases from DUMMY_PC.\n- Scope: Covers repair or replacement costs for covered issues.\n\n===\n",1,1
"If I have a customized desktop computer, can I still return it for a normal RMA Parts Exchange?","Customized, damaged, or abused products not eligible.","===\nRMA (Return Merchandise Authorization) Policy:\nPreapproval and RMA number required for all returns.\nSender responsible for shipping costs to DUMMY_PC.\nTwo types: Refund RMA and Normal RMA Parts Exchange.\n\nReturning RMA Products:\nUnauthorized returns without prior approval may be rejected.\nRMA numbers valid for 30 days.\n\nShipping the Return:\nRMA number must be clearly indicated on package.\nReturn address: DUMMY_PC, 111 S Baldwin Park Blvd, City of Industry, CA 91746.\n\nWarranty Policy\n\nOverview:\n- Purpose: To provide assurance for pre-built desktop computer purchases from DUMMY_PC.\n- Scope: Covers repair or replacement costs for covered issues.\n\n===\n",0,0
What is the cost of 3-Day Air shipping? ,3-Day Air: - Cost: $99,"===\nShipping Options for New PC:\n\n1. Free Eco Shipping (US Only):\n   - Delivery: 5-7 business days\n   - Cost: Free\n\n2. Ground Service:\n   - Delivery: 3-5 business days\n   - Cost: $75\n\n3. 3-Day Air:\n   - Delivery: 3 business days\n   - Cost: $99\n\n4. 2-Day Air:\n   - Delivery: 2 business days\n   - Cost: $125\n\n5. Next Day Air:\n   - Delivery: 1 business day\n   - Cost: $179\n\n6. Canada Shipping:\n   - Delivery: 3-5 business days\n   - Cost: $109\n\n7. APO/FPO Shipping (US Postal):\n   - Delivery: Varies (destination dependent)\n   - Cost: $149\n\nGuarantee Conditions and Exclusions:\nOnly for direct purchases from DUMMY_PC.com.\nOriginal purchaser and original payment form only.\nExcludes shipping, handling, rush service fees.\nCustomized, damaged, or abused products not eligible.\nRefund capped at the original purchase price.\n\nRestocking Fees:\nNo fees within 30 days of invoice date.\n15% fee after 30 days, subject to management approval.\nNo returns accepted after 45 days from delivery.\n\nDUMMY_PC U.S. Return Policy\n\nApplicability:\nApplies to new desktop computer systems bought from DUMMY_PC.com.\nFor the original purchaser shipped to a U.S. address.\nFor international orders, see the International Return Policy.\n\nMoney-Back Satisfaction Guarantee:\n30-day money-back for new desktop computers.\nValid for purchases from DUMMY_PC.com only.\n\n===\n",0,1
How long does Free Eco Shipping take to deliver within the US? ,Free Eco Shipping (US Only): - Delivery: 5-7 business days,"===\nShipping Options for New PC:\n\n1. Free Eco Shipping (US Only):\n   - Delivery: 5-7 business days\n   - Cost: Free\n\n2. Ground Service:\n   - Delivery: 3-5 business days\n   - Cost: $75\n\n3. 3-Day Air:\n   - Delivery: 3 business days\n   - Cost: $99\n\n4. 2-Day Air:\n   - Delivery: 2 business days\n   - Cost: $125\n\n5. Next Day Air:\n   - Delivery: 1 business day\n   - Cost: $179\n\n6. Canada Shipping:\n   - Delivery: 3-5 business days\n   - Cost: $109\n\n7. APO/FPO Shipping (US Postal):\n   - Delivery: Varies (destination dependent)\n   - Cost: $149\n\nInternational Return Policy:\nSimilar to U.S. policy but does not cover return shipping costs.\nFor Canadian shipments, DUMMY_PC may cover shipping both ways, case-dependent.\n\nDUMMY_PC U.S. Return Policy\n\nApplicability:\nApplies to new desktop computer systems bought from DUMMY_PC.com.\nFor the original purchaser shipped to a U.S. address.\nFor international orders, see the International Return Policy.\n\nMoney-Back Satisfaction Guarantee:\n30-day money-back for new desktop computers.\nValid for purchases from DUMMY_PC.com only.\n\n===\n",0,1
Are there any shipping methods available for delivery outside the US? ,6. Canada Shipping: - Delivery: 3-5 business days - Cost: $109,"===\n7. APO/FPO Shipping (US Postal):\n   - Delivery: Varies (destination dependent)\n   - Cost: $149\n\nImportant Notes:\n- Delivery times count from shipment, not order placement.\n- Order processing: 24-48 hours.\n- APO/FPO delivery times vary by destination.\n- Shipping costs are non-refundable.\n- Select shipping method during checkout.\n- Contact customer service for shipping inquiries.\n\nInternational Return Policy:\nSimilar to U.S. policy but does not cover return shipping costs.\nFor Canadian shipments, DUMMY_PC may cover shipping both ways, case-dependent.\n\nRMA (Return Merchandise Authorization) Policy:\nPreapproval and RMA number required for all returns.\nSender responsible for shipping costs to DUMMY_PC.\nTwo types: Refund RMA and Normal RMA Parts Exchange.\n\nReturning RMA Products:\nUnauthorized returns without prior approval may be rejected.\nRMA numbers valid for 30 days.\n\nShipping the Return:\nRMA number must be clearly indicated on package.\nReturn address: DUMMY_PC, 111 S Baldwin Park Blvd, City of Industry, CA 91746.\n\nWarranty Claim Process:\n1. Obtain RMA Number:\n   - Contact: Customer Service for issue reporting and RMA number.\n   - Requirement: Display RMA number on package.\n2. Packaging and Shipping:\n   - Packaging: Secure to prevent transit damage.\n   - Address: DUMMY_PC, Attn: RMA#_______, 111 S Baldwin Park Blvd, City of Industry, CA 91746.\n   - Recommendation: Use traceable, insured shipping method. DUMMY_PC not liable for transit damage/loss.\n\n===\n",0,0
