Name,Operating System (OS),Case,Processor (CPU),Processor Cooling (CPU Fan / CPU Cooling / Cooling System),Memory (RAM),Video Card (GPU),Storage,Motherboard,Power Supply,Wireless Network (WIFI),Base Price,Performance Comment
RDY Monochrome II,Windows 11 Home,iBUYPOWER HYTE Y40 RGB Gaming Case - Black/White,Intel Core i7-13700KF Processor (8X 3.40GHz + 8X 2.50GHz/30MB L3 Cache),DEEPCOOL LS520 ARGB 240mm Liquid Cooler - White,32GB [16GB x2] DDR5-6000MHz Teamgroup T-FORCE DELTA RGB (White),MSI Gaming GeForce RTX 4070 Ti Gaming X Trio White - 12GB GDDR6X (DLSS 3.0 每 AI-Powered Performance),2TB M.2 NVMe SSD,"ASUS PRIME Z790-P WIFI, WiFi 6, Back Panel USB (1 Type-C, 7 Type-A)","850 Watt - CORSAIR RM850 80 PLUS Gold, Full Modular (White)",On-Board Wireless Network,2699,"The RDY Monochrome II, with its Intel Core i7-13700KF and GeForce RTX 4070 Ti, is well-equipped to deliver excellent performance at high to ultra game settings. The combination of a robust CPU and high-speed DDR5 memory makes it a strong contender for gaming at 1440p and potentially 4K, as well as for demanding tasks like video editing and 3D rendering. The included 2TB NVMe SSD will ensure swift load times and ample storage for games and professional software, while the 850W Corsair power supply provides reliable power for stable performance during intensive computing tasks. This system is also suitably geared for streaming, thanks to the high-performance CPU and GPU that can handle gaming and live encoding simultaneously without breaking a sweat."
RDY Mori Calliope,Windows 11 Home,iBUYPOWER HYTE Y40 Mori Calliope Edition,Intel Core i9-13900KF Processor (8X 3.00GHz + 16X 2.20GHz/36MB L3 Cache),iBUYPOWER 360mm Addressable RGB Liquid Cooling System,32GB [16GB x2] DDR5-6000MHz Teamgroup T-FORCE DELTA RGB,GeForce RTX 4070 Ti - 12GB GDDR6X (DLSS 3.0 每 AI-Powered Performance),2TB M.2 NVMe SSD,"ASUS PRIME Z790-P WIFI, WiFi 6, Back Panel USB (1 Type-C, 7 Type-A)",850 Watt - High Power -80 PLUS Gold Certified PCIe GEN 5,On-Board Wireless Network,2699,"The RDY Mori Calliope, with its Intel Core i9-13900KF processor and GeForce RTX 4070 Ti graphics card, is expected to deliver excellent game resolution, easily supporting 4K gaming with high frame rates. Its combination of a high-end CPU, ample DDR5 memory, and a cutting-edge GPU also makes it suitable for demanding tasks such as video editing, 3D rendering, and live streaming. The 2TB NVMe SSD ensures quick load times and responsive performance across applications."
RDY Fractal RR002,Windows 11 Home,Fractal Design Meshify 2 RGB - Black,AMD Ryzen 7 7800X3D Processor (8X 4.2GHz/96MB L3 Cache),iBUYPOWER 240mm Addressable RGB Liquid Cooler - Black,32GB [16GB x 2] DDR5-5600MHz RGB,AMD Radeon RX 7900 XTX - 24GB GDDR6,2TB M.2 NVMe SSD,MSI PRO B650-P WIFI,850 Watt - High Power -80 PLUS Gold Certified PCIe GEN 5,On-Board Wireless Network,2649,"The RDY Fractal RR002, with its AMD Ryzen 7 7800X3D processor and AMD Radeon RX 7900 XTX graphics, is poised to deliver exceptional gaming performance, easily supporting 4K resolutions and high frame rates. The 32GB DDR5 RAM and fast 2TB NVMe SSD make it well-suited for demanding tasks such as video editing, 3D rendering, and live streaming without breaking a sweat. With PCIe Gen 5 support and an 850W 80 PLUS Gold PSU, it offers ample headroom for future upgrades and sustained performance under load."
Gaming RDY Y60BG206,Windows 11 Home,iBUYPOWER HYTE Y60 RGB Gaming Case - Black,Intel Core i9-13900KF Processor (8X 3.00GHz + 16X 2.20GHz/36MB L3 Cache),iBUYPOWER 360mm Addressable RGB Liquid Cooling System,32GB [16GB x 2] DDR5-6000MHz RGB,GeForce RTX 4070 Ti - 12GB GDDR6X (DLSS 3.0 每 AI-Powered Performance),2TB M.2 NVMe SSD,Z790 WiFi,850 Watt - High Power -80 PLUS Gold Certified PCIe GEN 5,On-Board Wireless Network,2599,"The iBUYPOWER Gaming RDY Y60BG206, with its Intel Core i9-13900KF and GeForce RTX 4070 Ti, is a high-end gaming machine capable of running the latest games at 4K resolution with high to ultra settings. The 32GB of DDR5 RAM and 2TB NVMe SSD make it well-suited for multitasking and ensure rapid load times, catering well to streaming, video editing, and 3D rendering tasks. The 850W 80 PLUS Gold PSU provides ample power for demanding workloads, and the WiFi 6 capability ensures fast wireless connectivity for both gaming and content creation."
Gaming RDY Y60BG204,Windows 11 Home,iBUYPOWER HYTE Y60 RGB Gaming Case - Black,Intel Core i9-13900KF Processor (8X 3.00GHz + 16X 2.20GHz/36MB L3 Cache),iBUYPOWER 360mm Addressable RGB Liquid Cooling System,32GB [16GB x 2] DDR5-5600MHz RGB,GeForce RTX 4070 - 12GB GDDR6X (DLSS 3.0 每 AI-Powered Performance),2TB M.2 NVMe SSD,Z790 WiFi,750 Watt - 80 PLUS Gold Certified,On-Board Wireless Network,2399,"The iBUYPOWER Gaming RDY Y60BG204, with its Intel Core i9-13900KF processor and GeForce RTX 4070, is expected to deliver exceptional gaming performance, easily handling 4K resolution on modern titles with high frame rates. The combination of 32GB DDR5 RAM and a 2TB NVMe SSD ensures swift multitasking and ample storage for video editing and 3D rendering workloads, making it highly suitable for content creators and streamers who demand quick rendering and encoding capabilities. The robust cooling system and high-quality power supply also suggest it can sustain long hours of demanding tasks without throttling, maintaining consistent performance throughout."
Gaming RDY Y40BG202,Windows 11 Home,iBUYPOWER HYTE Y40 RGB Gaming Case - Black,Intel Core i7-13700KF Processor (8X 3.40GHz + 8X 2.50GHz/30MB L3 Cache),iBUYPOWER 240mm Addressable RGB Liquid Cooling System,32GB [16GB x 2] DDR5-5600MHz RGB,GeForce RTX 4070 Ti - 12GB GDDR6X (DLSS 3.0 每 AI-Powered Performance),2TB M.2 NVMe SSD,Z690 DDR5 WiFi,850 Watt - 80 PLUS Gold Certified,On-Board Wireless Network,2399,"The iBUYPOWER RDY Y40BG202, with its Intel Core i7-13700KF and GeForce RTX 4070 Ti, is geared for high-resolution gaming, easily supporting 4K play and VR experiences. The inclusion of 32GB DDR5 RAM and a 2TB NVMe SSD means it's also very capable for demanding tasks such as video editing and 3D rendering. The 240mm RGB liquid cooling system ensures stable performance during long sessions, making this machine suitable for streaming and other intensive workloads."
RDY Quiet Night,Windows 11 Home,be quiet! Pure Base 500 Tempered Glass - Black,AMD Ryzen 7 7800X3D Processor (8X 4.2GHz/96MB L3 Cache),be quiet! Pure Loop 280mm Liquid Cooler,32GB [16GB X2] DDR5-5600MHz Kingston FURY Beast,GeForce RTX 4070 - 12GB GDDR6X (DLSS 3.0 每 AI-Powered Performance),2TB M.2 NVMe SSD,MSI PRO B650-P WIFI,"850 Watt - be quiet! Pure Power 12 M ATX 3.0 - 80 PLUS Gold PCIe GEN 5, Fully Modular",On-Board Wireless Network,2299,"The RDY Quiet Night with its AMD Ryzen 7 7800X3D Processor and GeForce RTX 4070 is a potent combination, capable of delivering exceptional gaming performance at high resolutions, including 4K, and is very well-suited for streaming and VR. The 32GB DDR5 RAM and 2TB NVMe SSD will ensure fast load times and efficient multitasking, making it also suitable for video editing, 3D rendering, and other demanding tasks. The cooling system and power supply suggest it's built to handle extended periods of heavy workload without overheating or throttling, ensuring reliable performance during intense use cases."
Gaming RDY ECL Pro Plus IV,Windows 11 Home,iBUYPOWER Element CL Hardline Custom Liquid Cooling ARGB,Intel Core i7-13700KF Processor (8X 3.40GHz + 8X 2.50GHz/30MB L3 Cache),iBUYPOWER 360mm Addressable RGB Hardline Custom Liquid Cooling System,32GB [16GB x 2] DDR5-6000MHz RGB,MSI VENTUS GeForce RTX 3080 - 10GB GDDR6X with iBUYPOWER Custom Waterblock (VR-Ready),2TB M.2 NVMe SSD,"ASUS PRIME Z790-P WIFI, WiFi 6, Back Panel USB (1 Type-C, 7 Type-A)",750 Watt - High Power - 80 PLUS Gold Certified,On-Board Wireless Network,2199,"The Gaming RDY ECL Pro Plus IV is well-equipped for high-resolution gaming, delivering smooth performance with its Intel Core i7-13700KF and water-cooled RTX 3080. Its configuration is ideal for 4K gaming, intense streaming, and video editing. The 32GB DDR5 RAM and 2TB NVMe SSD ensure fast load times and ample storage for 3D rendering and other demanding tasks, while the onboard WiFi 6 provides robust connectivity for online activities."
RDY North 001,Windows 11 Home,Fractal Design North - Charcoal Black,Intel Core i7-13700KF Processor (8X 3.40GHz + 8X 2.50GHz/30MB L3 Cache),iBUYPOWER 240mm Addressable RGB Liquid Cooling System,32GB [16GB x 2] DDR5-6000MHz RGB,GeForce RTX 4070 - 12GB GDDR6X (DLSS 3.0 每 AI-Powered Performance),2TB M.2 NVMe SSD,"ASUS PRIME Z790-V WIFI, WiFi 5, Back Panel USB (1 Type-C, 7 Type-A)",750 Watt - High Power - 80 PLUS Gold Certified,On-Board Wireless Network,2149,"The RDY North 001 with an Intel Core i7-13700KF and GeForce RTX 4070 is a powerhouse capable of delivering high game resolutions and frame rates, making it well-suited for demanding PC gaming and live streaming at high settings. Its 32GB of fast DDR5 RAM and 2TB NVMe SSD will ensure swift video editing and 3D rendering workflows, while also being more than capable of handling other demanding tasks with ease. The system's liquid cooling and 750W 80 PLUS Gold power supply mean it can maintain performance under load without excessive power consumption."
RDY Fractal BG001,Windows 11 Home,Fractal Design North - Charcoal Black,Intel Core i7-13700KF Processor (8X 3.40GHz + 8X 2.50GHz/30MB L3 Cache),iBUYPOWER 240mm Addressable RGB Liquid Cooling System,32GB [16GB X2] DDR5-6000MHz,GeForce RTX 4070 - 12GB GDDR6X (DLSS 3.0 每 AI-Powered Performance),2TB M.2 NVMe SSD,"ASUS PRIME Z790-P WIFI, WiFi 6, Back Panel USB (1 Type-C, 7 Type-A)",750 Watt - 80 PLUS Gold Certified,On-Board Wireless Network,2149,"The RDY Fractal BG001, with its Intel Core i7-13700KF and GeForce RTX 4070, is well-suited for high-resolution gaming and can handle 4K comfortably, especially with features like DLSS 3.0. The 32GB DDR5 RAM and 2TB NVMe SSD make it excellent for smooth video editing, demanding 3D rendering tasks, and fast processing times, which content creators and professionals will appreciate. Streaming and multitasking performance will be robust, thanks to the efficient liquid cooling system and the high-speed wireless connectivity afforded by WiFi 6."
Gaming RDY S6MBG101,Windows 11 Home,iBUYPOWER Slate 6 Mesh Front Panel ARGB,Intel Core i9-13900KF Processor (8X 3.00GHz + 16X 2.20GHz/36MB L3 Cache),iBUYPOWER 240mm Addressable RGB Liquid Cooling System,32GB [16GB X2] DDR5-5200MHz RGB,GeForce RTX 3070 Ti - 8GB GDDR6X (DLSS 2.0 - VR-Ready),1TB M.2 NVMe SSD,Z790,750 Watt - 80 PLUS Gold Certified,On-Board Wireless Network,2099,"The iBUYPOWER Gaming RDY S6MBG101, with its Intel Core i9-13900KF processor and GeForce RTX 3070 Ti graphics card, is expected to deliver excellent performance across a wide range of resolutions, including 1440p and potentially 4K for gaming. It is well-suited for high-refresh-rate gaming, demanding streaming tasks, and video editing. The 32GB of high-speed DDR5 RAM and the 1TB NVMe SSD will ensure fast load times and multitasking capability, making it also capable of handling 3D rendering and other intensive applications with ease."
Gaming RDY LCTRG201,Windows 11 Home,Lian Li Lancool 216 Mesh Front Panel RGB - Black,AMD Ryzen 7 7700X Processor (8X 4.5GHz/32MB L3 Cache),iBUYPOWER 240mm Addressable RGB Liquid Cooler - Black,32GB [16GB x 2] DDR5-5600MHz RGB,GeForce RTX 4070 Ti - 12GB GDDR6X (DLSS 3.0 每 AI-Powered Performance),2TB M.2 NVMe SSD,"ASUS Prime B650M-A AX - WiFi 6, Back Panel USB (8 Type-A)",750 Watt - High Power - 80 PLUS Gold Certified,On-Board Wireless Network,2099,"The Gaming RDY LCTRG201 is equipped with high-end components suitable for demanding tasks across the board. Its AMD Ryzen 7 7700X and GeForce RTX 4070 Ti are a powerful combo for gaming at high resolutions, including 4K, and can easily handle streaming and VR. The 32GB of fast DDR5 memory and 2TB NVMe SSD make it an excellent machine for video editing and 3D rendering, ensuring smooth performance and quick data access. The inclusion of WiFi 6 and a 750W 80 PLUS Gold power supply rounds out the build for efficiency and connectivity, making it a versatile system for various intensive use cases."
RDY Fractal RR001,Windows 11 Home,Fractal Design Pop Air RGB Magenta Core - Black,AMD Ryzen 7 7700X Processor (8X 4.5GHz/32MB L3 Cache),iBUYPOWER 240mm Addressable RGB Liquid Cooler - Black,32GB [16GB x 2] DDR5-5600MHz RGB,Radeon RX 6950 XT - 16GB GDDR6 (VR-Ready),2TB M.2 NVMe SSD,B650 WiFi,850 Watt - High Power -80 PLUS Gold Certified PCIe GEN 5,On-Board Wireless Network,1999,"The RDY Fractal RR001 is a high-end PC that is well-suited for 4K gaming, streaming, and demanding tasks like video editing and 3D rendering. The AMD Ryzen 7 7700X processor combined with the Radeon RX 6950 XT graphics card provides excellent performance and is VR-ready, ensuring smooth frame rates at high resolutions. The 32GB DDR5 RAM and 2TB NVMe SSD contribute to rapid load times and efficient multitasking capabilities, making it a robust choice for both professional creatives and hardcore gamers."
Gaming RDY SLHBG227,Windows 11 Home,iBUYPOWER Slate HAKO MR Tempered Glass ARGB,Intel Core i7-13700KF Processor (8X 3.40GHz + 8X 2.50GHz/30MB L3 Cache),iBUYPOWER 240mm Addressable RGB Liquid Cooling System,16GB [8GB x 2] DDR5-5200MHz,GeForce RTX 4070 - 12GB GDDR6X (DLSS 3.0 每 AI-Powered Performance),2TB M.2 NVMe SSD,Z790,750 Watt - 80 PLUS Gold Certified,On-Board Wireless Network,1999,"The iBUYPOWER Gaming RDY SLHBG227, with its Intel Core i7-13700KF and GeForce RTX 4070, is well-equipped for high-resolution gaming, providing excellent performance on current AAA titles at 1440p and good results at 4K, depending on the game settings. Its combination of a fast DDR5 memory and a 2TB NVMe SSD makes it very suitable for demanding tasks like video editing and 3D rendering, ensuring quick application load times and smooth multitasking. Additionally, the rig's powerful components and cooling system make it ideal for streaming and other performance-intensive applications, maintaining efficiency under heavy loads."
Gaming RDY ECL Pro III,Windows 11 Home,iBUYPOWER Element CL Hardline Custom Liquid Cooling ARGB,Intel Core i7-13700KF Processor (8X 3.40GHz + 8X 2.50GHz/30MB L3 Cache),iBUYPOWER 360mm Addressable RGB Hardline Custom Liquid Cooling System,32GB [16GB x 2] DDR5-6000MHz RGB,MSI VENTUS GeForce RTX 3070 - 8GB GDDR6 with iBUYPOWER Custom Waterblock (VR-Ready),1TB M.2 NVMe SSD,"ASUS PRIME Z790-P WIFI, WiFi 6, Back Panel USB (1 Type-C, 7 Type-A)",650 Watt - Channel Well - 80 PLUS Gold Certified,On-Board Wireless Network,1999,"The Gaming RDY ECL Pro III, with its Intel Core i7-13700KF and custom-cooled RTX 3070, is poised for high-resolution gaming, easily pushing beyond 1080p into 1440p territory, with 4K being viable in many titles. The robust cooling and 32GB of high-speed DDR5 RAM also make it suitable for intensive tasks like video editing and 3D rendering. The 1TB NVMe SSD ensures quick load times and the system is well-rounded for streaming and other demanding applications, though creators working with particularly large projects may benefit from additional storage."
Gaming RDY SLMRG211,Windows 11 Home,iBUYPOWER Slate MONO MR Tempered Glass ARGB,AMD Ryzen 7 7700X Processor (8X 4.5GHz/32MB L3 Cache),iBUYPOWER 240mm Addressable RGB Liquid Cooling System,32GB [16GB x 2] DDR5-5600MHz RGB,GeForce RTX 4070 - 12GB GDDR6X (DLSS 3.0 每 AI-Powered Performance),1TB M.2 NVMe SSD,B650 WiFi,700 Watt - High Power - 80 PLUS Gold Certified,On-Board Wireless Network,1899,"The iBUYPOWER Gaming RDY SLMRG211, equipped with an AMD Ryzen 7 7700X and GeForce RTX 4070, is a high-performance machine capable of running games at high resolutions, including 4K, with settings maxed out. The 32GB of fast DDR5 memory and the 1TB NVMe SSD make it excellent for gaming and equally adept at handling demanding tasks such as video editing and 3D rendering. The addition of DLSS 3.0 ensures that even the most graphics-intensive tasks are handled smoothly, making it a great choice for streamers and content creators who need reliable performance for both live broadcasting and post-production work."
Gaming RDY LCTRR201,Windows 11 Home,Lian Li Lancool 216 Mesh Front Panel RGB - Black,AMD Ryzen 7 7700X Processor (8X 4.5GHz/32MB L3 Cache),RGB CPU Tower Air Cooler,32GB [16GB x 2] DDR5-5600MHz RGB,AMD Radeon RX 7800 XT - 16GB GDDR6,1TB M.2 NVMe SSD,"ASUS Prime B650M-A AX - WiFi 6, Back Panel USB (8 Type-A)",700 Watt - High Power - 80 PLUS Gold Certified,On-Board Wireless Network,1699,"The Gaming RDY LCTRR201, equipped with an AMD Ryzen 7 7700X and Radeon RX 7800 XT, promises robust performance for 1440p and potentially 4K gaming, delivering high frame rates in demanding games. With 32GB DDR5 RAM and a 1TB NVMe SSD, it's also well-suited for tasks like video editing and 3D rendering. The inclusion of WiFi 6 and a 700W 80 PLUS Gold PSU ensures efficient connectivity and power management, making it a versatile rig for streaming and other intensive applications."
